"IDNumber";"LastName";"FirstName";"Sex";"DOB";"Firstonlist"
"4611276";"Espig";"Lutz";"M";1949.1.5 0:00:00;1970.12.31 0:00:00
"2000423";"Zuckerman";"Bernard";"M";1943.3.31 0:00:00;1970.12.31 0:00:00
"3600033";"Yepez";"Olavo";"M";1937.8.20 0:00:00;1970.12.31 0:00:00
"35556";"Maric";"Rudolf";"M";1927.5.13 0:00:00;1970.12.31 0:00:00
"4600126";"Unzicker";"Wolfgang";"M";1925.6.26 0:00:00;1970.12.31 0:00:00
"4600436";"Klundt";"Klaus";"M";1941.12.25 0:00:00;1970.12.31 0:00:00
"4600320";"Hecht";"Hans-Joachim";"M";1939.1.29 0:00:00;1970.12.31 0:00:00
"4611438";"Liebert";"Heinz";"M";1936.5.24 0:00:00;1970.12.31 0:00:00
"4611250";"Knaak";"Rainer";"M";1953.3.16 0:00:00;1970.12.31 0:00:00
"4600339";"Mohrlock";"Dieter";"M";1938.11.4 0:00:00;1970.12.31 0:00:00
"4611284";"Uhlmann";"Wolfgang";"M";1935.3.20 0:00:00;1970.12.31 0:00:00
"4611292";"Vogt";"Lothar";"M";1952.1.17 0:00:00;1970.12.31 0:00:00
"4500059";"Nei";"Iivo";"M";1931.10.31 0:00:00;1970.12.31 0:00:00
"4611330";"Malich";"Burkhard";"M";1936.11.29 0:00:00;1970.12.31 0:00:00
"4611357";"Fuchs";"Reinhard";"M";1934.9.28 0:00:00;1970.12.31 0:00:00
"4600592";"Capelan";"Guenter";"M";1932.7.28 0:00:00;1970.12.31 0:00:00
"3500241";"Jimenez";"Eleazar";"M";1928.6.25 0:00:00;1970.12.31 0:00:00
"4611624";"Neukirch";"Detlef";"M";1940.8.9 0:00:00;1970.12.31 0:00:00
"400394";"Lee";"Peter N.";"M";1943.11.21 0:00:00;1970.12.31 0:00:00
"1900102";"Cordovil";"Joao";"M";1946.4.23 0:00:00;1970.12.31 0:00:00
"4101529";"Averbakh";"Yuri L";"M";1922.2.8 0:00:00;1970.12.31 0:00:00
"4101383";"Zhukhovitsky";"Samuel";"M";1916.12.12 0:00:00;1970.12.31 0:00:00
"4103017";"Zaitsev";"Igor A";"M";1938.5.27 0:00:00;1970.12.31 0:00:00
"401226";"Friedgood";"David";"M";1946.7.11 0:00:00;1970.12.31 0:00:00
"401200";"Corden";"Martyn J.";"M";1951.1.12 0:00:00;1970.12.31 0:00:00
"2200031";"Bellon Lopez";"Juan Manuel";"M";1950.5.8 0:00:00;1970.12.31 0:00:00
"401129";"Wade";"Robert G.";"M";1921.4.10 0:00:00;1970.12.31 0:00:00
"2200279";"Calvo Minguez";"Ricardo";"M";1943.10.22 0:00:00;1970.12.31 0:00:00
"400904";"Littlewood";"John E.";"M";1931.5.25 0:00:00;1970.12.31 0:00:00
"4106750777";"Antoshin";"Vladimir S.";"M";1929.5.14 0:00:00;1970.12.31 0:00:00
"400831";"Whiteley";"Andrew J.";"M";1947.6.9 0:00:00;1970.12.31 0:00:00
"4103173";"Nikitin";"Aleksander S";"M";1935.1.27 0:00:00;1970.12.31 0:00:00
"4103246777";"Yudovich";"Mikhail M.";"M";1911.6.8 0:00:00;1970.12.31 0:00:00
"4103424";"Khasin";"Abram";"M";1923.2.15 0:00:00;1970.12.31 0:00:00
"4102061777";"Vladimirov";"Boris T";"M";1929.5.17 0:00:00;1970.12.31 0:00:00
"2100010";"Mecking";"Henrique";"M";1952.1.23 0:00:00;1970.12.31 0:00:00
"4400291";"De Greif";"Boris";"M";1930.2.13 0:00:00;1970.12.31 0:00:00
"654321";"Wright";"Daniel";"M";1947.1.27 0:00:00;1970.12.31 0:00:00
"6378";"Macskasy";"Elod";"M";1919.4.17 0:00:00;1970.12.31 0:00:00
"2100240";"German";"Eugenio";"M";1930.10.24 0:00:00;1970.12.31 0:00:00
"2100053";"Van Riemsdijk";"Herman C.";"M";1948.8.26 0:00:00;1970.12.31 0:00:00
"2100150";"Segal";"Alexandru Sorin";"M";1947.10.4 0:00:00;1970.12.31 0:00:00
"2203189";"Rodriguez Vargas";"Orestes";"M";1943.7.4 0:00:00;1970.12.31 0:00:00
"2100193";"Camara";"Helder";"M";1937.2.7 0:00:00;1970.12.31 0:00:00
"4103092777";"Grigorian";"Karen A.";"M";1947.9.7 0:00:00;1970.12.31 0:00:00
"2200686";"Visier Segovia";"Fernando";"M";1943.2.3 0:00:00;1970.12.31 0:00:00
"2200449";"Pomar Salamanca";"Arturo";"M";1931.9.1 0:00:00;1970.12.31 0:00:00
"2200309777";"Medina-Garcia";"Antonio";"M";1919.10.2 0:00:00;1970.12.31 0:00:00
"2200090";"Toran Albero";"Roman";"M";1931.10.9 0:00:00;1970.12.31 0:00:00
"2200155";"Diez Del Corral";"Jesus";"M";1933.4.6 0:00:00;1970.12.31 0:00:00
"2200821";"Saborido Carre";"Rafael";"M";1927.5.21 0:00:00;1970.12.31 0:00:00
"2100185";"Rocha";"Antonio";"M";1944.6.13 0:00:00;1970.12.31 0:00:00
"4103980";"Kozlov";"Vladimir N";"M";1950.5.31 0:00:00;1970.12.31 0:00:00
"4100131777";"Polugaevsky";"Lev";"M";1934.11.20 0:00:00;1970.12.31 0:00:00
"3900061";"Villarroel";"Geber";"M";;1970.12.31 0:00:00
"4103653777";"Moisieev";"Oleg L";"M";1925.5.6 0:00:00;1970.12.31 0:00:00
"400262";"Hartston";"William R.";"M";1947.8.12 0:00:00;1970.12.31 0:00:00
"3900142";"Schorr";"Leon";"M";;1970.12.31 0:00:00
"4103823";"Ilivitzki";"Georgi A";"M";1921.4.30 0:00:00;1970.12.31 0:00:00
"400505";"Basman";"Michael J.";"M";1946.3.16 0:00:00;1970.12.31 0:00:00
"400211";"Keene";"Raymond D.";"M";1948.1.29 0:00:00;1970.12.31 0:00:00
"4100921";"Tseshkovsky";"Vitaly";"M";1944.9.25 0:00:00;1970.12.31 0:00:00
"400360";"Penrose";"Jonathan";"M";1933.10.7 0:00:00;1970.12.31 0:00:00
"4104072777";"Tarva";"Udo";"M";1934.4.30 0:00:00;1970.12.31 0:00:00
"4104838777";"Lutikov";"Anatoly S.";"M";1933.2.5 0:00:00;1970.12.31 0:00:00
"4101910";"Sergievsky";"Vladimir D.";"M";1936.10.3 0:00:00;1970.12.31 0:00:00
"4104668";"Suetin";"Alexey S.";"M";1926.11.16 0:00:00;1970.12.31 0:00:00
"300640";"Mista";"Ladislav";"M";1948.10.31 0:00:00;1970.12.31 0:00:00
"4103564";"Zakharov";"Alexander";"M";1943.10.7 0:00:00;1970.12.31 0:00:00
"4101359";"Bronstein";"David";"M";1924.2.19 0:00:00;1970.12.31 0:00:00
"4300076";"Evans";"Chris A";"M";1945.7.22 0:00:00;1970.12.31 0:00:00
"4100760";"Taimanov";"Mark E";"M";1926.2.7 0:00:00;1970.12.31 0:00:00
"4100581777";"Geller";"Efim P";"M";1925.3.8 0:00:00;1970.12.31 0:00:00
"4100565";"Krogius";"Nikolai V";"M";1930.7.22 0:00:00;1970.12.31 0:00:00
"4100522";"Vasiukov";"Evgeni";"M";1933.3.5 0:00:00;1970.12.31 0:00:00
"4100310";"Smyslov";"Vassily";"M";1921.3.24 0:00:00;1970.12.31 0:00:00
"401056";"Clarke";"Peter H.";"M";1933.3.18 0:00:00;1970.12.31 0:00:00
"4100263";"Balashov";"Yuri S";"M";1949.3.12 0:00:00;1970.12.31 0:00:00
"4101090";"Kholmov";"Ratmir D";"M";1925.5.13 0:00:00;1970.12.31 0:00:00
"4100026";"Karpov";"Anatoly";"M";1951.5.23 0:00:00;1970.12.31 0:00:00
"4102703";"Faibisovich";"Vadim Z";"M";1944.5.8 0:00:00;1970.12.31 0:00:00
"4102118";"Osnos";"Viatcheslav";"M";1935.7.24 0:00:00;1970.12.31 0:00:00
"4102134777";"Platonov";"Igor V";"M";1934.1.18 0:00:00;1970.12.31 0:00:00
"4102177";"Cherepkov";"Alexander V";"M";1920.10.30 0:00:00;1970.12.31 0:00:00
"4102231";"Nikolaevsky";"Yuri V";"M";1937.2.14 0:00:00;1970.12.31 0:00:00
"4101650";"Anikaev";"Yuri N";"M";1948.6.29 0:00:00;1970.12.31 0:00:00
"4100301";"Razuvaev";"Yuri S";"M";1945.10.10 0:00:00;1970.12.31 0:00:00
"2300141";"Kristinsson";"Jon";"M";1942.6.17 0:00:00;1970.12.31 0:00:00
"1300105";"Partos";"Charles";"M";1936.8.10 0:00:00;1970.12.31 0:00:00
"13300016";"Vaganian";"Rafael A";"M";1951.10.15 0:00:00;1970.12.31 0:00:00
"1300091";"Lombard";"Andre";"M";1950.9.19 0:00:00;1970.12.31 0:00:00
"1300296";"Hohler";"Peter";"M";1941.4.13 0:00:00;1970.12.31 0:00:00
"1300288";"Bhend";"Edwin";"M";1931.9.9 0:00:00;1970.12.31 0:00:00
"2300095";"Johannsson";"Ingi R";"M";1936.12.5 0:00:00;1970.12.31 0:00:00
"2400120";"Levy";"David N.L.";"M";1945.3.14 0:00:00;1970.12.31 0:00:00
"2300346";"Kristjansson";"Bragi";"M";1945.1.8 0:00:00;1970.12.31 0:00:00
"1300598";"Castagna";"Rino";"M";1936.6.5 0:00:00;1970.12.31 0:00:00
"2300389";"Benedictsson";"Benony";"M";1917.11.3 0:00:00;1970.12.31 0:00:00
"2300460";"Solmundarsson";"Magnus";"M";1939.11.14 0:00:00;1970.12.31 0:00:00
"2300222";"Torfason";"Jon";"M";1949.3.27 0:00:00;1970.12.31 0:00:00
"2300079";"Sigurjonsson";"Gudmundur";"M";1947.9.25 0:00:00;1970.12.31 0:00:00
"2300052";"Olafsson";"Fridrik";"M";1935.1.26 0:00:00;1970.12.31 0:00:00
"4400232777";"Cuellar Gacharna";"Miguel";"M";1916.11.18 0:00:00;1970.12.31 0:00:00
"2300184";"Thorsteinsson";"Bjorn";"M";1940.1.7 0:00:00;1970.12.31 0:00:00
"200158";"Cornelis";"Frans B.";"M";1942.1.6 0:00:00;1970.12.31 0:00:00
"4600100";"Pfleger";"Helmut";"M";1943.8.6 0:00:00;1970.12.31 0:00:00
"2015307";"Gufeld";"Eduard";"M";1936.3.19 0:00:00;1970.12.31 0:00:00
"2000610";"Ghizdavu";"Dumitru";"M";1949.5.21 0:00:00;1970.12.31 0:00:00
"2000440";"Mednis";"Edmar J";"M";1937.3.22 0:00:00;1970.12.31 0:00:00
"2003430";"Wagman";"Stuart";"M";1919.5.14 0:00:00;1970.12.31 0:00:00
"1900250";"Durao";"Joaquim";"M";1930.10.25 0:00:00;1970.12.31 0:00:00
"1300121";"Kupper";"Josef";"M";1932.3.10 0:00:00;1970.12.31 0:00:00
"200093";"Boey";"Josef";"M";1934.5.16 0:00:00;1970.12.31 0:00:00
"1306855";"Paoli";"Enrico";"M";1908.1.13 0:00:00;1970.12.31 0:00:00
"2000369";"Evans";"Larry M.";"M";1932.3.22 0:00:00;1970.12.31 0:00:00
"1300156";"Keller";"Dieter";"M";1936.7.19 0:00:00;1970.12.31 0:00:00
"1300229";"Glauser";"Hansruedi";"M";1945.6.28 0:00:00;1970.12.31 0:00:00
"1300199";"Persitz";"Raaphi";"M";1934.5.26 0:00:00;1970.12.31 0:00:00
"1300016";"Korchnoi";"Viktor";"M";1931.3.23 0:00:00;1970.12.31 0:00:00
"1300415";"Schaufelberger";"Heinz";"M";1947.11.19 0:00:00;1970.12.31 0:00:00
"2400170";"Davie";"Alexander M";"M";1946.4.4 0:00:00;1970.12.31 0:00:00
"2000687";"Benko";"Pal C";"M";1928.7.15 0:00:00;1970.12.31 0:00:00
"4200144";"Skalkotas";"Nikolaos";"M";1949.9.21 0:00:00;1970.12.31 0:00:00
"2800284";"Kagan";"Shimon";"M";1942.4.6 0:00:00;1970.12.31 0:00:00
"2600137";"Day";"Lawrence A.";"M";1949.2.1 0:00:00;1970.12.31 0:00:00
"2800446";"Peretz";"Malkiel";"M";1943.6.9 0:00:00;1970.12.31 0:00:00
"500372";"Havansi";"Erkki E.T.";"M";1941.7.11 0:00:00;1970.12.31 0:00:00
"4200640";"Vizantiadis";"Lazaros";"M";1938.4.2 0:00:00;1970.12.31 0:00:00
"4200179";"Kokkoris";"Hristos";"M";1942.9.16 0:00:00;1970.12.31 0:00:00
"2300575";"Magnusson";"Olafuv";"M";1938.11.15 0:00:00;1970.12.31 0:00:00
"4200101";"Siaperas";"Triantafyllos";"M";1932.8.1 0:00:00;1970.12.31 0:00:00
"2600390";"Vranesic";"Zvonko";"M";1938.10.4 0:00:00;1970.12.31 0:00:00
"4200055";"Gesos";"Pavlos";"M";1945.5.25 0:00:00;1970.12.31 0:00:00
"4400097";"Cuartas";"Carlos";"M";1940.8.15 0:00:00;1970.12.31 0:00:00
"4300025777";"Sarapu";"Ortvin";"M";1924.1.22 0:00:00;1970.12.31 0:00:00
"4400178";"Alzate";"Javier";"M";1935.1.1 0:00:00;1970.12.31 0:00:00
"4300173";"Anderson";"Bruce R";"M";1948.9.4 0:00:00;1970.12.31 0:00:00
"2000415";"Lombardy";"William J";"M";1937.12.4 0:00:00;1970.12.31 0:00:00
"4200314";"Kazilaris";"Nikolaos";"M";1942.2.24 0:00:00;1970.12.31 0:00:00
"2800187";"Kraidman";"Yair";"M";1932.11.1 0:00:00;1970.12.31 0:00:00
"2400065";"Pritchett";"Craig W";"M";1949.1.15 0:00:00;1970.12.31 0:00:00
"2400049";"McKay";"Roderick M";"M";1952.2.11 0:00:00;1970.12.31 0:00:00
"4662989";"Pachman";"Ludek";"M";1924.5.11 0:00:00;1970.12.31 0:00:00
"2800071777";"Liberzon";"Vladimir";"M";1937.3.23 0:00:00;1970.12.31 0:00:00
"2600161";"Amos";"Bruce M.";"M";1946.12.30 0:00:00;1970.12.31 0:00:00
"2600471";"Allan";"Denis";"M";1944.11.21 0:00:00;1970.12.31 0:00:00
"2801183";"Mashian";"Yaacov (Houschang)";"M";1938.12.17 0:00:00;1970.12.31 0:00:00
"2800349777";"Porat";"Yosef";"M";1909.6.7 0:00:00;1970.12.31 0:00:00
"26514";"Sandor";"Bela";"M";1919.12.14 0:00:00;1970.12.31 0:00:00
"2600056";"Suttles";"Duncan";"M";1945.12.21 0:00:00;1970.12.31 0:00:00
"2600439777";"Witt";"Laszlo";"M";1933.4.2 0:00:00;1970.12.31 0:00:00
"2800489";"Geller";"Uzi";"M";1931.1.27 0:00:00;1970.12.31 0:00:00
"27777710";"Keres";"Paul";"M";1916.1.7 0:00:00;1970.12.31 0:00:00
"2600080777";"Yanofsky";"Daniel A.";"M";1925.3.26 0:00:00;1970.12.31 0:00:00
"2600595";"Schulman";"Mark";"M";1937.11.11 0:00:00;1970.12.31 0:00:00
"4400275777";"Sanchez";"Luis A.";"M";1917.7.20 0:00:00;1970.12.31 0:00:00
"2800756";"Domnitz";"Zadok";"M";1933.10.15 0:00:00;1970.12.31 0:00:00
"1600168";"Dueckstein";"Andreas";"M";1927.8.2 0:00:00;1970.12.31 0:00:00
"1700596";"Ek";"Hans";"M";1928.10.6 0:00:00;1970.12.31 0:00:00
"1700189";"Jansson";"Borje";"M";1942.3.12 0:00:00;1970.12.31 0:00:00
"1600052";"Robatsch";"Karl";"M";1928.10.14 0:00:00;1970.12.31 0:00:00
"1600389";"Kinzel";"Anton";"M";1921.1.9 0:00:00;1970.12.31 0:00:00
"1601288";"Stoppel";"Franz";"M";1931.10.3 0:00:00;1970.12.31 0:00:00
"1701460";"Pietrusiak";"Bogdan";"M";1933.7.14 0:00:00;1970.12.31 0:00:00
"1700138777";"Johansson";"Martin";"M";1918.8.6 0:00:00;1970.12.31 0:00:00
"1600109";"Prameshuber";"Aleksander";"M";1926.11.20 0:00:00;1970.12.31 0:00:00
"900060";"Todorcevic Antic";"Miodrag";"M";1940.11.10 0:00:00;1970.12.31 0:00:00
"1600141";"Holaszek";"Hans";"M";1944.1.5 0:00:00;1970.12.31 0:00:00
"1701070";"Olsson";"Ake";"M";1934.5.3 0:00:00;1970.12.31 0:00:00
"1601598";"Strauss";"Anton";"M";1940.3.3 0:00:00;1970.12.31 0:00:00
"1601377";"Steiner";"Ulrich A.";"M";1939.12.3 0:00:00;1970.12.31 0:00:00
"1601547";"Beni";"Alfred";"M";1923.6.3 0:00:00;1970.12.31 0:00:00
"700401777";"Vadasz";"Laszlo";"M";1948.1.27 0:00:00;1970.12.31 0:00:00
"1700340";"Kinnmark";"Ove";"M";1944.12.24 0:00:00;1970.12.31 0:00:00
"1201085777";"Voiculescu";"Paul";"M";1931.9.25 0:00:00;1970.12.31 0:00:00
